Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
"The Lever (levernews.com)
",left,USA,https://www.levernews.com/,,levernews,1.0
The Lily (www.thelily.com),left,USA,https://www.thelily.com/,,thelilynews,0.7777777777777778
The London Economic (www.thelondoneconomic.com),left,United Kingdom,https://www.thelondoneconomic.com,,londoneconomic,0.9032258064516129
The Mary Sue (www.themarysue.com),left,USA,https://www.themarysue.com,TheMarySueTube,themarysue,1.0
The Militant (www.themilitant.com),left,USA (45/180 Press Freedom),https://themilitant.com/,,,
The Monthly (Australia) (www.themonthly.com.au),left,Australia,https://www.themonthly.com.au/,,,
The Morning Star (www.morningstaronline.co.uk),left,United Kingdom,https://morningstaronline.co.uk/,,m_star_online,0.7333333333333333
The Nation (https://www.thenation.com/),left,USA,https://www.thenation.com/,,,
The National Memo (www.nationalmemo.com),left,USA,https://www.nationalmemo.com/,,,
The New Civil Rights Movement (www.thenewcivilrightsmovement.com),left,USA,https://www.thenewcivilrightsmovement.com/,,newcivilrights,0.717948717948718
The Palestine Chronicle (www.palestinechronicle.com),left,USA,https://www.palestinechronicle.com,UC2J3olQxMEQLEmpzisRVzpg,palestinechron,0.875
"The Phnom Penh Post (www.phnompenhpost.com)
",left,Cambodia,https://www.phnompenhpost.com/,,,
